GL_Account_Code,Description,Total_Balance,Entry_Line_Date,Credit_Amount,Running_Balance,gl_account_code,gl_account_description,gl_supplier_key,gl_credit_amount,gl_entry_line_date,gl_entry_period_month
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-05-01 00:00:00,13348.45,13348.45,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,13348.45,2026-01-05,2026-01
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-05-01 00:00:00,765,14113.45,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,765.0,2026-01-05,2026-01
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-05-01 00:00:00,5397.33,19510.78,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,5397.33,2026-01-05,2026-01
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-05-01 00:00:00,2035,21545.78,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,2035.0,2026-01-05,2026-01
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-05-01 00:00:00,1038.92,22584.7,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,1038.92,2026-01-05,2026-01
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-05-01 00:00:00,3473.33,26058.03,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,3473.33,2026-01-05,2026-01
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-05-01 00:00:00,190,26248.03,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,190.0,2026-01-05,2026-01
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-05-01 00:00:00,560,26808.03,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,560.0,2026-01-05,2026-01
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-05-01 00:00:00,255,27063.03,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,255.0,2026-01-05,2026-01
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-05-01 00:00:00,210,27273.03,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,210.0,2026-01-05,2026-01
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-05-01 00:00:00,1400.92,28673.95,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,1400.92,2026-01-05,2026-01
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-05-01 00:00:00,1200,29873.95,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,1200.0,2026-01-05,2026-01
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-05-01 00:00:00,340,30213.95,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,340.0,2026-01-05,2026-01
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-05-01 00:00:00,585,30798.95,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,585.0,2026-01-05,2026-01
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-05-01 00:00:00,3063.84,33862.79,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,3063.84,2026-01-05,2026-01
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-05-01 00:00:00,1994.37,35857.16,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,1994.37,2026-01-05,2026-01
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-05-01 00:00:00,7656.66,43513.82,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,7656.66,2026-01-05,2026-01
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-05-01 00:00:00,320,43833.82,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,320.0,2026-01-05,2026-01
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-05-01 00:00:00,600,44433.82,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,600.0,2026-01-05,2026-01
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-05-01 00:00:00,300,44733.82,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,300.0,2026-01-05,2026-01
